"","date","longitude","latitude","longitudeError","latitudeError","behav","instrument_name"
"5935",2013-03-18,166.796296474696,32.4062055858066,2.919473885,3.182937655,0.575673404348426,"172419_2011_1090269"
"5945",2013-03-19,166.55642296517,32.5044448580216,2.53605998499999,3.026012455,0.599514266702968,"172419_2011_1090269"
"5955",2013-03-20,166.326330866126,32.6072681487612,2.21883734000001,3.104519075,0.632560785062317,"172419_2011_1090269"
"5965",2013-03-21,166.228019355017,32.7007969165103,2.06186085,2.87220075,0.669237706280039,"172419_2011_1090269"
"5975",2013-03-22,166.146119130907,32.7607696059807,1.99539193,3.242801005,0.699342449317145,"172419_2011_1090269"
"5985",2013-03-23,166.16068700876,32.8500004675953,1.804970075,3.239950235,0.721693119121048,"172419_2011_1090269"
"5995",2013-03-24,166.154551186139,32.9158059226385,1.80112402500001,3.25264759,0.738256962724666,"172419_2011_1090269"
"6004",2013-03-25,166.135004252629,33.0040011235155,1.724242115,2.893736825,0.748306191789328,"172419_2011_1090269"
"60112",2013-03-26,166.137729876416,33.1033612726013,1.733415415,2.48500309,0.759495467073917,"172419_2011_1090269"
"6028",2013-03-27,166.122486584536,33.1811920829274,1.56555161499999,2.839635215,0.769309407271688,"172419_2011_1090269"
"6035",2013-03-28,166.124618511424,33.240519443665,1.617286725,2.8914547,0.774792694971035,"172419_2011_1090269"
"6045",2013-03-29,166.126067877836,33.2971659795865,1.49878212499999,2.89032852,0.773250779085935,"172419_2011_1090269"
"6055",2013-03-30,166.141697339568,33.3637040055532,1.83343497,2.935415,0.768170105219831,"172419_2011_1090269"
"6065",2013-03-31,166.160177784817,33.4091041853333,1.803746375,2.90395438,0.756852935080537,"172419_2011_1090269"
"6075",2013-04-01,166.181813011874,33.4429116297314,1.78611114499999,2.872926605,0.735717393844447,"172419_2011_1090269"
"6085",2013-04-02,166.205027720691,33.4940580831436,1.473609365,2.870630685,0.699517484005347,"172419_2011_1090269"
"6095",2013-04-03,166.026303909973,33.5635515325743,1.90279908000001,3.009357275,0.658234132971012,"172419_2011_1090269"
"61012",2013-04-04,165.848083969631,33.6479426340825,2.27335236,2.871883855,0.618210250466903,"172419_2011_1090269"
"61113",2013-04-05,165.623261931483,33.7494831258631,2.40105154,2.86238942,0.577995291801102,"172419_2011_1090269"
"61211",2013-04-06,165.348723143616,33.8714996379093,2.7066631,2.97095881,0.541340470015646,"172419_2011_1090269"
"6136",2013-04-07,165.04397184145,34.0237982065049,2.81496665630616,2.45644015425957,0.513459835768639,"172419_2011_1090269"
"6145",2013-04-08,164.704178885148,34.2093713643181,3.15298820999999,2.97317831,0.498573981489211,"172419_2011_1090269"
"6155",2013-04-09,164.311547610336,34.3595323600097,3.36963752,3.051936705,0.501804738183911,"172419_2011_1090269"
"6165",2013-04-10,163.99124154815,34.4705165509188,3.72759416,3.09466725,0.521822802999524,"172419_2011_1090269"
"6175",2013-04-11,163.729540629961,34.5362835399038,3.875196515,3.13751669,0.549820179208875,"172419_2011_1090269"
"6185",2013-04-12,163.531675706696,34.5679131175405,3.72374628999999,3.06109523,0.576152379056731,"172419_2011_1090269"
"6195",2013-04-13,163.346835395237,34.6010334957878,3.677657905,2.835354845,0.594959067142101,"172419_2011_1090269"
"6205",2013-04-14,163.1516491764,34.6444665245837,3.77889854,3.07689822,0.607879598569968,"172419_2011_1090269"
"62113",2013-04-15,162.951491598119,34.6641898835314,3.764148565,2.7512529,0.617342260785772,"172419_2011_1090269"
"6229",2013-04-16,162.772593576629,34.6578081074011,3.799493615,2.961098595,0.621800064585838,"172419_2011_1090269"
"6235",2013-04-17,162.572318135119,34.6384740330878,3.65452545000001,3.22358476,0.623356750999456,"172419_2011_1090269"
"6245",2013-04-18,162.401784728041,34.6332669851962,3.71082818500001,3.376450845,0.625002744338492,"172419_2011_1090269"
"6255",2013-04-19,162.236567074375,34.6528306575383,3.613224495,3.27733847,0.626160007646132,"172419_2011_1090269"
"6265",2013-04-20,162.060925476752,34.6869464242609,3.58080137499999,3.300815115,0.628031969690426,"172419_2011_1090269"
